Volume de vendas no comércio varejista;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; ;01/01/2000;01/02/2000;01/03/2000;01/04/2000;01/05/2000;01/06/2000;01/07/2000;01/08/2000;01/09/2000;01/10/2000;01/11/2000;01/12/2000;01/01/2001;01/02/2001;01/03/2001;01/04/2001;01/05/2001;01/06/2001;01/07/2001;01/08/2001;01/09/2001;01/10/2001;01/11/2001;01/12/2001;01/01/2002;01/02/2002;01/03/2002;01/04/2002;01/05/2002;01/06/2002;01/07/2002;01/08/2002;01/09/2002;01/10/2002;01/11/2002;01/12/2002;01/01/2003;01/02/2003;01/03/2003;01/04/2003;01/05/2003;01/06/2003;01/07/2003;01/08/2003;01/09/2003;01/10/2003;01/11/2003;01/12/2003;01/01/2004;01/02/2004;01/03/2004;01/04/2004;01/05/2004;01/06/2004;01/07/2004;01/08/2004;01/09/2004;01/10/2004;01/11/2004;01/12/2004;01/01/2005;01/02/2005;01/03/2005;01/04/2005;01/05/2005;01/06/2005;01/07/2005;01/08/2005;01/09/2005;01/10/2005;01/11/2005;01/12/2005;01/01/2006;01/02/2006;01/03/2006;01/04/2006;01/05/2006;01/06/2006;01/07/2006;01/08/2006;01/09/2006;01/10/2006;01/11/2006;01/12/2006;01/01/2007;01/02/2007;01/03/2007;01/04/2007;01/05/2007;01/06/2007;01/07/2007;01/08/2007;01/09/2007;01/10/2007;01/11/2007;01/12/2007;01/01/2008;01/02/2008;01/03/2008;01/04/2008;01/05/2008;01/06/2008;01/07/2008;01/08/2008;01/09/2008;01/10/2008;01/11/2008;01/12/2008;01/01/2009;01/02/2009;01/03/2009;01/04/2009;01/05/2009;01/06/2009;01/07/2009;01/08/2009;01/09/2009;01/10/2009;01/11/2009;01/12/2009;01/01/2010;01/02/2010;01/03/2010;01/04/2010;01/05/2010;01/06/2010;01/07/2010;01/08/2010;01/09/2010;01/10/2010;01/11/2010;01/12/2010;01/01/2011;01/02/2011;01/03/2011;01/04/2011;01/05/2011;01/06/2011;01/07/2011;01/08/2011;01/09/2011;01/10/2011;01/11/2011;01/12/2011;01/01/2012;01/02/2012;01/03/2012;01/04/2012;01/05/2012;01/06/2012;01/07/2012;01/08/2012;01/09/2012;01/10/2012;01/11/2012;01/12/2012;01/01/2013;01/02/2013;01/03/2013;01/04/2013;01/05/2013;01/06/2013;01/07/2013;01/08/2013;01/09/2013;01/10/2013;01/11/2013;01/12/2013;01/01/2014;01/02/2014;01/03/2014;01/04/2014;01/05/2014;01/06/2014;01/07/2014;01/08/2014;01/09/2014;01/10/2014;01/11/2014;01/12/2014;01/01/2015;01/02/2015;01/03/2015;01/04/2015;01/05/2015;01/06/2015;01/07/2015;01/08/2015;01/09/2015;01/10/2015;01/11/2015;01/12/2015;01/01/2016;01/02/2016;01/03/2016;01/04/2016;01/05/2016;01/06/2016;01/07/2016;01/08/2016;01/09/2016;01/10/2016;01/11/2016;01/12/2016;01/01/2017;01/02/2017;01/03/2017;01/04/2017;01/05/2017;01/06/2017;01/07/2017;01/08/2017;01/09/2017;01/10/2017;01/11/2017;01/12/2017;01/01/2018;01/02/2018;01/03/2018;01/04/2018;01/05/2018;01/06/2018;01/07/2018;01/08/2018;01/09/2018;01/10/2018;01/11/2018;01/12/2018;01/01/2019;01/02/2019;01/03/2019;01/04/2019;01/05/2019;01/06/2019;01/07/2019;01/08/2019;01/09/2019;01/10/2019;01/11/2019;01/12/2019;01/01/2020;01/02/2020;01/03/2020;01/04/2020;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020
;Brasil;46;46,5;48,5;48,5;50,5;48,1;49,8;49,7;48,4;49,4;50,3;69,3;46,9;44,2;49,7;47,6;49,4;47,5;47,8;49,1;47,1;50;49,1;67,4;46,4;43,5;49,9;46,6;50;46,6;48,6;50,2;46,4;50,3;49,1;63,9;44,3;42,8;44,2;44,9;46,9;44;46,5;47,3;45,1;48,8;49;66;47;45;49,1;49,5;51,9;49,7;52,1;50,5;49,2;52,9;52;73,5;49,9;45,9;52,9;51,1;53,3;52,3;54,4;54;51,9;54,9;54,6;77,2;53,2;48,8;54,4;54,9;57,3;54,3;55,6;57,4;57,1;58,7;59,5;81,6;57,7;53,2;60,7;59,2;63,3;60,6;60,8;63,3;61,8;64,3;65,7;89,3;64,5;60;67,5;64,3;70,3;65,5;67,7;69,6;67,6;70,7;69;92,7;68,3;62,3;68,3;68,9;72,3;69,2;71,7;72,8;71;76,7;74,9;101,2;75,4;69,9;79,1;75,2;79,8;77,1;79,7;80,5;79,5;83,4;82,4;111,6;81,7;75,9;82,2;82,9;84,8;82,5;85,3;85,7;83,6;87;87,9;119;88;83,9;92,5;87,8;91,7;90,2;91,4;94,2;90,8;94,9;95,3;125,1;93,3;83,7;96,6;89,3;95,8;91,7;97;100;94,6;100;102;129,9;99,2;90,9;95,6;95,3;100,2;92,6;96,1;99,1;95,1;102,2;103,5;130,3;99,8;87,9;95,9;92,1;95,7;90,1;92,4;92,2;89,1;96,4;95,4;120,9;89,2;84,2;90,4;85,8;87,1;85,7;87,2;87,1;84;88,6;91,8;115;88,1;81,1;87,5;87,3;89,4;88,2;89,9;90,2;89,2;90,9;97,3;119,5;90,9;82,3;94,5;87,9;91,8;89,6;89;93,9;89,4;92,7;101,7;120,3;92,6;85,6;90,3;89,5;92,7;89,7;92,8;95,2;91,4;96,6;104,9;123,5;93,9;89,6;89,3;74,2;85,9;90,2;97,9;101,1;98;104,7;108,5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Fonte: ""IBGE - Pesquisa Mensal de Comércio""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Year;Sells volume;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2001;595,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2002;591,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2003;569,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
