Produção física industrial por seções industriais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   ; ;01/01/2002;01/02/2002;01/03/2002;01/04/2002;01/05/2002;01/06/2002;01/07/2002;01/08/2002;01/09/2002;01/10/2002;01/11/2002;01/12/2002;01/01/2003;01/02/2003;01/03/2003;01/04/2003;01/05/2003;01/06/2003;01/07/2003;01/08/2003;01/09/2003;01/10/2003;01/11/2003;01/12/2003;01/01/2004;01/02/2004;01/03/2004;01/04/2004;01/05/2004;01/06/2004;01/07/2004;01/08/2004;01/09/2004;01/10/2004;01/11/2004;01/12/2004;01/01/2005;01/02/2005;01/03/2005;01/04/2005;01/05/2005;01/06/2005;01/07/2005;01/08/2005;01/09/2005;01/10/2005;01/11/2005;01/12/2005;01/01/2006;01/02/2006;01/03/2006;01/04/2006;01/05/2006;01/06/2006;01/07/2006;01/08/2006;01/09/2006;01/10/2006;01/11/2006;01/12/2006;01/01/2007;01/02/2007;01/03/2007;01/04/2007;01/05/2007;01/06/2007;01/07/2007;01/08/2007;01/09/2007;01/10/2007;01/11/2007;01/12/2007;01/01/2008;01/02/2008;01/03/2008;01/04/2008;01/05/2008;01/06/2008;01/07/2008;01/08/2008;01/09/2008;01/10/2008;01/11/2008;01/12/2008;01/01/2009;01/02/2009;01/03/2009;01/04/2009;01/05/2009;01/06/2009;01/07/2009;01/08/2009;01/09/2009;01/10/2009;01/11/2009;01/12/2009;01/01/2010;01/02/2010;01/03/2010;01/04/2010;01/05/2010;01/06/2010;01/07/2010;01/08/2010;01/09/2010;01/10/2010;01/11/2010;01/12/2010;01/01/2011;01/02/2011;01/03/2011;01/04/2011;01/05/2011;01/06/2011;01/07/2011;01/08/2011;01/09/2011;01/10/2011;01/11/2011;01/12/2011;01/01/2012;01/02/2012;01/03/2012;01/04/2012;01/05/2012;01/06/2012;01/07/2012;01/08/2012;01/09/2012;01/10/2012;01/11/2012;01/12/2012;01/01/2013;01/02/2013;01/03/2013;01/04/2013;01/05/2013;01/06/2013;01/07/2013;01/08/2013;01/09/2013;01/10/2013;01/11/2013;01/12/2013;01/01/2014;01/02/2014;01/03/2014;01/04/2014;01/05/2014;01/06/2014;01/07/2014;01/08/2014;01/09/2014;01/10/2014;01/11/2014;01/12/2014;01/01/2015;01/02/2015;01/03/2015;01/04/2015;01/05/2015;01/06/2015;01/07/2015;01/08/2015;01/09/2015;01/10/2015;01/11/2015;01/12/2015;01/01/2016;01/02/2016;01/03/2016;01/04/2016;01/05/2016;01/06/2016;01/07/2016;01/08/2016;01/09/2016;01/10/2016;01/11/2016;01/12/2016;01/01/2017;01/02/2017;01/03/2017;01/04/2017;01/05/2017;01/06/2017;01/07/2017;01/08/2017;01/09/2017;01/10/2017;01/11/2017;01/12/2017;01/01/2018;01/02/2018;01/03/2018;01/04/2018;01/05/2018;01/06/2018;01/07/2018;01/08/2018;01/09/2018;01/10/2018;01/11/2018;01/12/2018;01/01/2019;01/02/2019;01/03/2019;01/04/2019;01/05/2019;01/06/2019;01/07/2019;01/08/2019;01/09/2019;01/10/2019;01/11/2019;01/12/2019;01/01/2020;01/02/2020;01/03/2020;01/04/2020;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020
1 Indústria geral;Brasil;77,70;80,20;79,8;79,6;79,1;79,4;79,7;78,6;79,6;80,2;80,3;79,5;79,8;79,6;79,9;79,5;77,8;78,2;77,4;78,6;81,2;81,6;82,6;81,3;82,7;84;84,5;85,1;85,9;86,1;86,7;87,6;88,2;87,6;87,4;88,3;88,7;87,4;88,1;88,3;91,3;89,5;88,9;89,1;88,2;87,7;88,6;90,4;90,8;91,4;90,7;91,4;92,2;90,6;91,6;91,4;90,3;90,8;92,1;93,3;92,7;93,9;94,9;96;96,3;97,1;96,5;97,9;97,1;99,6;98,5;98,9;100,6;100,2;100,5;100,4;101,1;102,9;103,2;101,9;103,3;100,3;94,4;83,8;85,6;87,6;88;89,1;90,3;91,5;92,6;94;95,6;97,4;98,9;99,1;100,7;100,5;102,9;103,1;103;102,4;101,8;101,4;101,6;101,3;102,1;102,7;102,8;104,1;104,9;102,1;105,1;102,8;103,1;102,1;100,1;99,3;99,9;102,4;97,9;99,1;98,2;98,5;98,8;99;100,5;102,6;100,6;102,1;100,5;101,3;102,1;99,7;101,2;102,9;102,5;103,2;102,4;102,9;103,5;102,4;103;99;100,6;101,3;101,1;100,2;98,8;96,1;98,3;99,2;99,3;99,7;98,6;95,4;96;95,6;94,9;93;92,2;91,2;89,5;90,3;88,2;88;86,4;84,8;86,1;85;85,5;85,4;85,8;84,8;85,5;83,4;84,4;83,3;84;85,6;86,4;87,7;85,5;85,8;86,2;86,9;87,1;86,9;87,3;88;88,5;91,5;89,2;89;89,4;89,9;80,2;90,3;89,7;88,8;86,4;87,4;87,6;88,2;87,4;87,8;86,8;87;87,4;86,6;85,5;86,8;86,9;88,5;87;86,4;87,3;88,2;79,9;64,3;69,9;76,6;83,2;86,1;88,5;89,4;90,4;91,2
2 Indústrias extrativas;Brasil;64,4;65,8;67,4;67;66,1;67,6;68,4;67,4;66,6;68,1;68,2;64,1;70,7;71;71;70,3;70,7;66;68,5;69,9;70,5;70,5;70,9;70,7;70,4;74,2;70,8;71;69,1;72,2;73,5;75,3;75,1;75,1;75;75,4;75,2;75,2;76,4;80,3;81,2;83,4;81,2;81,3;83,1;83,5;82,7;82,4;85,3;84,9;86;85,2;86,8;84,1;86,1;86;87,2;87,8;90;88,7;89,3;90;91;90,2;90,1;91,3;91,7;91,8;90,8;91,9;93,1;97,9;96;98,4;94,9;93,6;97,5;97,9;99,4;99,7;99,6;98,9;88,8;76,6;78,1;79,4;84,6;83,8;84;88,7;89,2;89,4;90;91;89,5;90,9;94,8;95,8;98,7;98,3;97,4;96,8;98,5;98,9;102,1;98,4;99,7;100,1;100,1;100;98,7;100,7;100,2;100,8;99,7;99,7;100,5;99,6;102,9;102;93,3;103,3;101;100,4;102,9;100,2;99,8;99,2;96,6;104,2;97,4;101,1;95,4;94,3;92,9;94;94,1;97;96,9;97;96;99,9;100,3;97,3;97,4;96;100,4;100,6;101,3;100,9;103,7;105,5;106,2;107,6;105,9;107,6;108,6;108,6;111,4;112,2;108,9;109,6;107,5;109,6;108,9;106,9;95,5;95,4;90,2;96,3;94,2;94,7;96,9;95,9;97,6;97,3;98,3;97,6;99,5;102;102,5;103;102,7;102,5;102,6;102,2;100,7;99,8;99,7;99,7;100,5;98,3;102,2;97,2;101,4;100,9;103,8;102,1;101,6;99,7;97,8;101,6;101,7;103,1;104;88,3;87,4;79;86,9;87,2;92,7;97,6;94,6;93,8;92,1;90,5;88,5;88,7;87,2;86,9;82,4;86,3;93,9;95,4;90,3;87,7;83,7;86,8
3 Indústrias de transformação;Brasil;78,4;80,9;80;80,4;80,1;80,2;80,8;80,2;80,5;80,8;80,7;80,1;80;80;80,5;79,7;78,6;78,7;78,7;79,6;82,1;82,2;83,1;81,8;83,4;84,2;85,4;85,9;86,9;87,1;87,8;88,4;89,1;88;88,2;89,1;89,6;88,6;89;88,9;91,5;89,9;89,4;89,5;88,8;87,9;89,3;91;91,1;92,4;91;91,6;92;90,9;91,8;91,4;91;90,6;92,6;93,4;93,6;94,8;95,3;96,3;96,3;97,2;96,4;97,4;97,8;98,8;98,8;99,8;102,3;100,6;101,3;100,9;101,4;102,5;102,6;101,4;103,2;99,2;95,2;84,1;85,8;87,3;88,1;89,2;90,5;91,4;92,7;94,4;96;97,4;99,6;100,4;101,7;101,7;102,9;103,5;103;102,5;101,5;101;101,5;101,4;102,1;103,7;103,7;104,7;106,1;102,4;104,7;103;103;101,6;99,8;99,6;99,6;103,7;97,7;98,1;98;97,9;98,3;98,8;100,2;102,6;101,1;101,7;100,9;102,1;103;100,6;102,3;104,1;103,6;104,1;102,9;103,1;103,9;102,3;102,9;100,1;101,3;101,9;101,8;100,4;98,9;95,3;97,8;98,1;98;98,1;97,5;94,8;94,6;93,5;92,7;90,8;90,1;88,9;87,6;88,1;86,2;86,4;85;83,7;84,3;81,7;84,2;84,4;84,2;83,6;84;82,6;83,3;82,3;82,3;83,5;83,8;84,2;83,6;83,2;84,2;84,9;85,5;85,7;86,4;86,8;87,4;90,9;88;86,9;88;88,4;77,6;88,4;87,9;87,4;85,7;86,1;86,1;86;85,8;87;86,5;87,8;87;86;84,9;85,8;86,3;88,2;86,7;85,8;87,6;87,7;78,6;60,1;68,2;75,3;82,3;85,2;88,5;89,9;91,5;92,9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Fonte: ""IBGE - Pesquisa Industrial Mensal - Produção Física""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Year;General Industry;Extraction Industry;Transformation Industry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2002;953,7;801,10;963,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2003;957,5;840,70;965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2004;1034,1;877,10;1043,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2005;1066,2;965,90;1073,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
