Índice de volume de serviços - total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;01/01/2011;01/02/2011;01/03/2011;01/04/2011;01/05/2011;01/06/2011;01/07/2011;01/08/2011;01/09/2011;01/10/2011;01/11/2011;01/12/2011;01/01/2012;01/02/2012;01/03/2012;01/04/2012;01/05/2012;01/06/2012;01/07/2012;01/08/2012;01/09/2012;01/10/2012;01/11/2012;01/12/2012;01/01/2013;01/02/2013;01/03/2013;01/04/2013;01/05/2013;01/06/2013;01/07/2013;01/08/2013;01/09/2013;01/10/2013;01/11/2013;01/12/2013;01/01/2014;01/02/2014;01/03/2014;01/04/2014;01/05/2014;01/06/2014;01/07/2014;01/08/2014;01/09/2014;01/10/2014;01/11/2014;01/12/2014;01/01/2015;01/02/2015;01/03/2015;01/04/2015;01/05/2015;01/06/2015;01/07/2015;01/08/2015;01/09/2015;01/10/2015;01/11/2015;01/12/2015;01/01/2016;01/02/2016;01/03/2016;01/04/2016;01/05/2016;01/06/2016;01/07/2016;01/08/2016;01/09/2016;01/10/2016;01/11/2016;01/12/2016;01/01/2017;01/02/2017;01/03/2017;01/04/2017;01/05/2017;01/06/2017;01/07/2017;01/08/2017;01/09/2017;01/10/2017;01/11/2017;01/12/2017;01/01/2018;01/02/2018;01/03/2018;01/04/2018;01/05/2018;01/06/2018;01/07/2018;01/08/2018;01/09/2018;01/10/2018;01/11/2018;01/12/2018;01/01/2019;01/02/2019;01/03/2019;01/04/2019;01/05/2019;01/06/2019;01/07/2019;01/08/2019;01/09/2019;01/10/2019;01/11/2019;01/12/2019;01/01/2020;01/02/2020;01/03/2020;01/04/2020;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020
Brasil;83,8;83,3;87,5;86,7;89,8;89;90,7;92,8;91,2;90,9;92,6;99,9;87,6;86,1;93,6;89,3;94;92,4;93,7;96,6;93,7;97,5;96,4;103,3;92;88,1;95,3;96,4;97,3;96,2;98,7;98,7;98,3;101,6;100,6;106,9;97,1;94,2;98;98;100;97,7;100,8;100,2;101,4;103,6;101,6;107,5;94;90,6;100,2;95,2;96,9;95,5;96,5;96,6;96,5;97,6;95,1;102,1;89,3;87,1;94,3;90,6;91;92,3;92,2;92,8;91,8;90,2;90,7;96,3;86,2;82,4;89,4;85,4;89,3;89,5;89,2;90,5;88,9;89,8;90,1;96,8;84,9;80,5;88,6;87,2;85,9;90,4;89,1;92;89,3;91,2;90,9;97,2;86,6;83,6;86,5;86,6;90;87,2;90,7;90,8;90,7;93,7;92,6;98,7;88;84,1;84,1;71,6;72,6;76,5;79,9;81,7;84,4;86,8;88,2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Fonte: ""IBGE - Pesquisa Mensal de Serviços""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Year;Services volume indice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;1078,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2012;1124,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2013;1170,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2014;1200,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2015;1156,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
